id,group,age,city,salary,active
91,The Avengers,41,Köpingsvik,55803,false
92,Team A,1,Brdów,44312,false
93,Squadron X,53,Álli Meriá,64365,false
94,Squadron X,38,Blerim,45732,true
95,Group 1,71,Shuangfeng,95675,false
96,,28,Chorotis,26229,false
97,The Avengers,56,Stare Juchy,81795,true
98,The Avengers,23,Trâu Quỳ,61960,false
99,The Avengers,87,Chengmagang,64754,false
100,Squadron X,58,Kitwe,23079,true
101,Team A,12,Pakel,89372,true
102,Team A,94,Huaishu,64461,true
103,The Avengers,74,Wanjia,87657,true
104,,33,Norrköping,48481,true
105,Team A,82,Dadukou,35301,true
106,Group 1,25,Shido,68456,true
107,The Avengers,96,Ongkharak,73178,false
108,The Avengers,45,Mari,85185,true
109,,28,Sargatskoye,53353,true
110,The Avengers,89,Telagasari,,false
111,Team A,85,Acarí,97604,false
112,Squadron X,72,Villa Santa Rita,92009,false
113,Group 1,26,Gzy,74497,true
114,Group 1,59,Batiano,40423,false
115,,14,Xiazhai,44144,false
116,Team A,69,Vila Boa do Bispo,46258,false
117,The Avengers,11,Juradó,49835,true
118,Team A,4,Warburton,85946,false
119,Squadron X,23,Ormstown,97226,true
120,The Avengers,68,Tangkolo,70254,true
121,Team A,70,‘Arad,39926,true
122,Group 1,38,Agrela,90716,false
123,The Avengers,24,Hüremt,86736,true
124,The Avengers,28,Tadrart,24039,false
125,Team A,40,Nsanje,32036,false
126,Team A,25,Adelaide Mail Centre,46029,false
127,Group 1,63,Santo Antônio do Içá,41766,true
128,Team A,1,Huandiqiao,34273,true
129,Squadron X,67,Abakaliki,31009,true
130,Team A,56,Asempapak,53526,true
131,The Avengers,64,Al Qadarif,99807,true
132,Team A,92,Veiga,53706,false
133,Group 1,3,Líbeznice,77767,true
134,Group 1,8,Terara,96132,false
135,The Avengers,49,Takanabe,86022,false
136,Team A,38,Oklahoma City,92140,false
137,The Avengers,83,Pindi Bhattiān,,false
138,,66,Kasserine,25776,false
139,Squadron X,71,Mosopa,66407,true
140,The Avengers,93,Centenario,39666,false
141,Team A,9,San Vicente,22384,false
142,Team A,27,Djounie,,false
143,Squadron X,59,Kuching,87851,true
144,,20,Balkh,75596,false
145,Squadron X,72,São Paio de Gramaços,51484,false
146,Squadron X,17,Atarodangwautu,,
147,The Avengers,71,Caramay,70650,false
148,Team A,56,Gložan,78920,true
149,The Avengers,21,Visby,95072,false
150,Group 1,52,Yeosu,99174,false
151,Team A,26,Ban Na Muang,22374,false
152,Group 1,38,Tanudan,66008,false
153,Group 1,77,Calape,61496,true
154,The Avengers,58,Kavadarci,70369,true
155,Team A,9,Bom Jesus do Itabapoana,98311,false
156,The Avengers,90,Guluoshan,35325,false
157,Team A,58,Uppsala,75347,true
158,The Avengers,41,Zhangbagou,74681,false
159,The Avengers,32,Jezerce,82287,false
160,Squadron X,29,Monte de Fralães,81415,false
161,The Avengers,40,Potulando,55923,true
162,Team A,65,Zongzhai,69334,true
163,Squadron X,59,Miguel Hidalgo,82269,true
164,The Avengers,41,Parral,92100,false
165,The Avengers,58,Měřín,,true
166,Team A,75,Muang Pakxan,38792,true
167,Group 1,48,Aba,45603,false
168,Group 1,81,Balung,96595,true
169,The Avengers,21,Primorsko-Akhtarsk,25825,
170,Team A,86,Bulakbanjar,73726,
171,Team A,30,Ciakar,45960,false
172,Group 1,46,Cambrai,56233,true
173,Squadron X,53,Oropós,34514,false
174,The Avengers,94,Pitumarca,39921,false
175,Squadron X,88,Matsena,98685,false
176,The Avengers,2,Bromma,52264,false
177,The Avengers,87,München,36954,false
178,,22,Capitán Solari,46469,
179,Group 1,93,El Paso,75481,true
180,Squadron X,16,Wanbu,83452,false
181,Team A,24,Nizhniy Bestyakh,53060,false
182,The Avengers,83,Sishilichengzi,33138,true
183,The Avengers,89,Tuqiao,91898,true
184,Team A,10,Barcin,96612,true
185,Team A,99,Zambujeira,88551,false
186,Squadron X,1,María la Baja,91203,false
187,,64,Danville,90518,false
188,The Avengers,12,Villa de Soto,52547,true
189,Team A,18,Angan,72933,false
190,The Avengers,44,Zhonghualu,20634,false
191,Group 1,26,Barurao,84911,true
192,The Avengers,84,Ranisoba,60715,true
193,Group 1,40,Bolgar,24155,
194,Squadron X,32,Alpedrinha,96831,true
195,Group 1,13,Zhonghechang,70883,true
196,Squadron X,7,Santa Fé do Sul,92899,false
197,Squadron X,65,Jubao,70944,false
198,Squadron X,69,Telsiai,83656,false
199,Group 1,51,Omboué,38839,true
200,The Avengers,33,Penha,24069,false
